Sensor,Coeff_A_Tb,Coeff_B_TbTCWV,Coeff_Intercept,Scaler_Tb_Center,Scaler_Tb_Scale,Scaler_TCWV_Center,Scaler_TCWV_Scale,D_mean,D_std
L4,3.4823219125277167,-0.011247282638209392,275.4503361096741,274.58207742866665,3.4076957065901183,10.624123096466064,6.399625420570372,0.0,0.0
L5,3.4582955936783155,-0.021736111011342183,275.45102979666893,274.5828486755939,3.371546533425999,10.624123096466064,6.399625420570372,1.0489051256597346,0.0059776201318670836
L7,3.465105453797611,-0.016949389372123317,275.45154866249226,274.3076460803507,3.364911523674209,10.624123096466064,6.399625420570372,0.7687188792617585,0.0073468578443042385
L8,3.5180006879356767,-0.0068141085635177205,275.45720026324545,274.7343404955682,3.4227572696189554,10.624123096466064,6.399625420570372,1.3281548649017547,0.005947961753995509
L9,3.518000675498537,-0.007285746076529987,275.4565997320123,274.6956193993194,3.421352186794479,10.624123096466064,6.399625420570372,1.1523923728819236,0.0150146305581645
